area_detail,ward_name
kas colony 42nd main[silk bord] & hosur road main road to 32nd main someshwara colony,unknown
31st main tank bund road to 29th main 4th c cross to 13th cross,unknown
ews colony 6th cross to 14th cross down,unknown
"gundurayappa layout 16th main,19th cross to 23rd cross",unknown
"nanjappa layout 
31st main to 29th main 1st cross to 4th b cross",unknown
ews colony 6th cross to 14th cross up,unknown
madeena nagar  16th main,deepanjali nagar
"29th main road
28th main road
27th main road
to 6th cross",unknown
"udupi garden 
26th main ,25th main,24th main 2nd cross & 4th cross",unknown
"udupi garden 
23rd main, 22nd main &2nd cross to 3rd cross",unknown
kuvempu park 21st main to 15th main kuvempu park,unknown
1st main to 3rd main bda flats & mico layout,kumaraswamy layout
3rd main to 6th main vysya bank,unknown
"devarachikkanahalli ; krishna  layout ; royal shelters ; duo heights layout, karim darbar road - 1st cross, virat nagar, bommana halli a.k.colony, 13th main, 8th cross, virat nagar (icici bank atm ) down stream, karim darbar road - 2nd cross , virat nagar.",unknown
"rice gowdown street, shama medicals road, , virat nagar, masjid road, virat nagar, nagappa road, 11th cross, n.r. layout, ghousia masjid road, bommana halli, virat nagar- bhcs layout, vajrappa layout, bms road, virat nagar, kaveri nagar down stream & kodichikkana halli main road",unknown
"bhanu nursing home road, bommana halli, 15th, 16th, & 17th cross, n.r.layout, (near burrial ground- down stream), anna poorneshwari temple- down stream, roopena agrahara village, channappa reddy layout, sarayi angadi road, babu reddy layout,  muslim burrial ground",unknown
"masjid road- behind  anna poorneshwari temple, presidency school road, 15th, 16th, & 17th cross, n.r.layout, (near burrial ground- up stream), near narasimha swamy temple, roopena agrahara, gulbarga colony, chinnathayappa layout, kaveri nagar masjid road & upstream, balekayi mandi road, arya apartment road, behind bbmp office, 6th cross, virat nagar, nadamma layout",unknown
"11th & 12th cross, virat nagar, roopena agrahara dinne, muneshwara temple road, mahantha hospital road, muneshwara layout.",unknown
"m.g.road, dickenson road, hanumanthappa layout, aga abbas ali road, m.g.road left side like prime rose road, brunton cross road, craig park layout.",unknown
"ulsoor road, haddin road, gangadhara chetty road, yellappa chitty road, ulsoor cross roads.",unknown
"gouthampura 4th cross, 2nd main, artilary road, 1st, 2nd and 3rd cross, jeevankendra layout, nandavam .b. street, jogupalya 5th, 6th and 7th cross.",unknown
"bazaar street, car street, r.k.mutt road, lakshamiah reddy road, damodhar road, doddakattappa road, cambridge layout 1st to 7th cross, 1st a. main, shammanna gowda layout, sarsawathipura 2nd 3rd and 4th cross, main channel road, lingayyanapalya, marappa road, muniswamappa road, g.no 8th street and g no 10th street.",unknown
"murphy town, sadashiva muddaliar road, gang man quarters, guptha layout, jayaranagar a to f street, kuleme siddanna road, muniswamappa layout, m.v.garden 1st to 14th cross, murphy town rama temple road and cross roads.",unknown
"shanthinagar, a.t.halli, p.k.colony, barlie street, bangiyappa garden, eagle street, lakshmi road 1st to 6th cross, langford road, moinvilla road, kingston street.",unknown
"basappa road, swasthi road, andrew road, nanjappa road, lakshmi road, double road.",unknown
"vinayakanagar 2nd main 1st cross to 7th cross, 1st main, 7th cross, 1st .c. cross, 2nd .b. cross, 1st .b. cross, j.k.pura.",unknown
"l.r.nagar 1st to 38th cross, candel mary statue road, mico factory, n.d.r.i, hosur road up to n.d.r.i,",unknown
"vinayakanagar 1st main, 1st cross to 9th cross, subbanna garden, mani lane, part of j.k.pura,",unknown
"neelsandra, austin town b.d.a, ambedkarnagar, samanthanagar, rose garden, anepalya 1st cross, yarappa garden, austin town, abbaiah garden.",unknown
"anepalya 1st to 15th cross, anepalya main road.",unknown
"anepalya  uppar part of 7th and 8th cross, and 2nd .a. cross.",unknown
"ashok nagar, albrat street , king street,  kanvet road, kyastala street, residency road.",unknown
"bregade road, church street, rest house road, m.g.road, musium road, residency road.",unknown
"victoriya layout, p.k.quaters, gasviyara layout.",unknown
"y.g.palya, astin town, nimhans, south street, lindan street.",unknown
"viveka nagar, extension andra colony, mayabajara.",unknown
"sonnehalli, vannapete layout, canara bank, o shakthi temple, muniyappa garden, abbayya garden.",unknown
"o.r.c. road, jayaraja nagara.",jayachamarajendra nagar
"ayyappa block, ayyappa temple, rudrappa garden, maya bajara.",unknown
"r.c.road 13th cross, 6th cross, ashwini layout",nandini layout
"v.g.s. layout, 24th cross, sampangi ramayya road.",sampangiramnagar
"r.c.road 1st and 2nd cross, 21th cross.",unknown
"shreenivagilu main road, 14th cross, holi christ school.",unknown
"chandrareddy layout, 20th cross k.i.g.h.",unknown
"20th c cross, andra layout, 20th b cross, a cross.",unknown
"village, 19th cross, buchhappa layout",unknown
"greepa garden, indira garden, r.a.road, rangappa garden, opposite peralyanda.",unknown
"vinayak nagr b block, sr layout & rustum bhag,  muniyappa layout, ashok avenue ,  wind tunnel road,  murugesh pallia, shamanna lane,  kavery nagar & nr layout",unknown
"sriram nigari, syndicate bank lane, konen agrahara, shamappa lane(teacher), kr garden, wind tunnel road (5th cross), nr colony",unknown
"vinayak nagar a block, murugesh pallya, sr layout, rustum bhag, pr layout, manjunath layout",unknown
"amarjyothi layout, domlur layout, kdihalli, domlur 2nd stage",unknown
"domlur village and domlur bda,  hal 2nd stage(16th,17th,18th mains)",unknown
"ganesha temple,deepa nursing 
home,krishna garden, manjunath  layout,balaji layout,
vinayak layout, tulsi theatre road (1,2,3,4th)cross, old gram tana, ring road",unknown
chowdeshwari layout from 5th cross to kauvery layout 2nd cross,chowdeshwari ward
yamlur,yadiyuru
michael palya 1st main to 3rd main,yelahanka satellite town
bm kaval 1st cross to 5th cross,unknown
"hanumanagara 1st main to 4th main road, bhoomi reddy colony",unknown
"seethappa colony 8th,9th & 10th main",unknown
rahman tea stall road,yelahanka satellite town
anjaneya temple road,gali anjaneya swamy temple ward
6th main annayappa garden,shakthiganapathi nagar
"venkateshwara colony 1st cross,               2nd cross, 3rd cross & 4th cross",unknown
"saw mill road, i st cross to 4th cross new thippasandra main road",unknown
515 colony,cottonpet
"kpwd quarters, thimma reddy colony & om shakthi temple road",dattathreya temple
"lic colony 11th cross, 9th main,9th a mian,9th b main, 8th main, 7th main, 6th main",unknown
eshwara temple road & jb nagar main road,banashankari temple ward
"kodihalli 11th main, 12th main & 13th main",unknown
miranda school,marenahalli
kodihalli nal compound,kodigehalli
"kullappa colony, nanja reddy colony, shivalingaiah colony & krishna reddy lane anandapuram(four days once) sudhamanagar(four days once)",unknown
bda layout & anadapura 8th cross,byatarayanapura
laksmipuram 18th a cross to 21st cross,mahalakshmipuram
indiranagar 1st stage 6th cross to doudle road,unknown
"hutting colony, micheal palya & old binnamangla",unknown
hal 2nd stage 6th main to 12th main,yelahanka satellite town
old thippasandra,hosathippasandra
defence colony 6th main to 1st main,unknown
hal 2nd stage 12th main to 16th main,yelahanka satellite town
indiranagar 2nd stage behind bts depot,govindrajnagara
indiranagar 2nd stage behind bts depot upper portion,unknown
kadirenpalya upper portion,hal airport
kadirenpalya lower portion,marenahalli
new binnamangla,koramangala
kalahalli & andhra colony,jalahalli
1st cross to 6th cross lbs nagar & 17th e cross indiranagar,unknown
laksmipura 1st cross to 18th cross,mahalakshmipuram
6th main yellamma temple road,dharmarayaswamy temple ward
"motappanpalya,binnamangala 2nd stage, cmh road, indiranagr 9th a main, 10th a main",unknown
"mottapannapalya, appareddypalya",gurappanapalya
"binnmangala 2nd stage, 3rd cross to 10th cross",unknown
"indiranagar 2nd stage, 13th cross , 14th cross & 14th a cross, 9th main to 11th main, 17th c,d & e crosses",unknown
"7th main to 13th b main esi hospital service road, vasanthappa garden hal 2nd stage",unknown
doopanahalli,bommanahalli
balaji layout kaggadasapura (four days once),unknown
gm palya (four days once),unknown
byrasandra (four days once),byrasandra
cauvery layout (four days once),kumaraswamy layout
malleshpalya 2nd main to 9th main (four days once),unknown
nagavarapalya sanjeevappa layout,kumaraswamy layout
"sudhgunte palya krishnappa garden, hosa palya (four days once)",unknown
kaggadaspura 6th c cross to 6th h cross (four days once),unknown
maruthi nagar 10th main 1st cross to 6th cross (four days once),unknown
malleshpalya 1st main village (four days once),unknown
nagavarapalya,nagavara
"sudhgunte palya seenappa layout, rajkumar circle (four days once)",unknown
kaggadaspura 1st cross to 6th c cross,unknown
kaggadaspura 7th crioss ton 18th cross,unknown
bhuvaneshwari nagar 1st main to 3rd main big bazaar layout,unknown
byrasandra gundappa layout1 to 4,nandini layout
"varthur road, rahat bhagh near old big bazaar",vrushabhavathi nagar
august park road,agaram
new byappanahalli 1st cross to 9th cross,nayandanahalli
bandappa colony,manorayanapalya
"sadananda nagara 8th main, 1st cross to 2nd cross (grape garden)",unknown
sadananda nagara 3rd  cross to 4th cross,dayanandanagar
"sadananda nagara 4th main, 1st cross to 5th cross, temple road &  unnathi road",unknown
sadananda nagara it layout,nandini layout
"krishnaiahna palya 1st main, 1st cross to 4th cross",unknown
krishnaiahna palya 2nd main 1st cross to 4th cross,unknown
"krishnaiahna palya 2nd main, 5th cross to 9th cross",unknown
krishnaiahna palya muneshwara layout,kumaraswamy layout
national games village (judicial block & khb),unknown
5th & 6th block koramangala.,koramangala
rajendranagar,rajajinagar
shashtrinagara,subhashnagar
"kml village & 20th a, b, c roads 8th blk, kml",unknown
"8th block near shiva theater area, adugodi main road, part of kml village",unknown
"8th block near ambedkara park, part of 5th blk near jnc, 7th blk opp to airtel office",unknown
8th block near chamundeshwari park,chowdeshwari ward
"8th blk kml 3rd, 3rd a, 3rd b main roads, munikrishnappa layout adugodi",unknown
"devegowda block, basavanna temple street, ambedkar bhavan adugodi",unknown
balappa layout 1st to 5th cross adugodi,unknown
"patalamma temple street, akcolony audgodi",banashankari temple ward
"7th blcok behind tata docommo near bheemachandra kalyana mantapa, car quarters",unknown
"4th block, mestripalya, srinivagilu, military asc centre, st bed, friends colony, 1st block, jakkasandra extension.",unknown
siddaratha colony,sidedahalli
"1st block, venkatapura 13th cross",unknown
jakkasandra extension,jakkasandra
"teachers colony 4th 5th & 6th avenue, ksrp quarters,",unknown
"venkatapura 1st cross, to 13th cross",unknown
ksrp quarters hsr 5th sector & teachers colony,unknown
"j block, kml",unknown
siddaratha colony near market,vidyaranyapura
"3rd blk kml, kudremukha colony, cpwd quarters, survey of india quarters",unknown
"raheja apt, part of 4th blk, 1st blk",unknown
jakkasandra village venkatapura 5th cross to 8th cross,unknown
bellanduru village & shobha group,bellandur
ibbaluru,hebbal
5£éã ªàävàäû 6£éã páæ¸ï «£áaiàäpà£àuàgà,unknown
"3£éã, 4£éãpáæ¸ï ¸àäeávà méamï »a¨sáuà,5 ªàävàäû 6£éã páæ¸ï ªé¸ïö d¥sï ¥ázàgáaiàä£à¥àågà",unknown
"7£éã, 10£éã páæ¸ï ªé¸ïö d¥sï ¥ázàgáaiàä£à¥àågà",unknown
"11£éã, 12£éã ªàävàäû 13£éã páæ¸ï ªé¸ïö d¥sï ¥ázàgáaiàä£à¥àågà",unknown
8£éã ªàävàäû 9£éã páæ¸ï ªé¸ïö d¥sï ¥ázàgáaiàä£à¥àågà,unknown
"1£éã, 2£éã ªàävàäû 3£éã páæ¸ï «£áaiàäpà£àuàgà ºáuàæ ¥éê¥ï¯éã£ï",unknown
djã¥sï ¥áµà §qáªàuéaiàä ¸àävàûªàäävàû® ¥àæzéãµà,unknown
"4£éã j páæ¸ï, §£ágà¸ï ªàä¹ã¢aiàä ¸àävàûªàäävàû® ¥àæzéã±à",unknown
cgï¥sàvï£àuàgà ¸àävàûªàäävàû® ¥àæzéã±à,unknown
zéãªàgáeï cgà¸ï £àuàgà ¸àävàûªàäävàû® ¥àæzéã±à,unknown
"d£àvá pá¯éæã¤, n¥àåöà zëpà, «£áaiàäpà£àuàgà, ¥ázàgáaiàä£à¥àågà",unknown
"ªéæã«£à¥àågà, ¥ságàäq£àuàgà,",unknown
12£éã páæ¸ï ¥ázàgáaiàä£à¥àågà,unknown
"11£éã ¹ páæ¸ï, ¨á§ä nã ºéæãmé¯ï gà¸éû",unknown
11£éã r páæ¸ï,unknown
§¼éã±énö ¨ëqàj,unknown
"7£éã páæ¸ï, ¸àäeává méamï ªàääa¨sáuà",unknown
sá£ï ¸áºéã¨ï ªàä£éaiàä ºàwûgà,unknown
"n§¼éã±ï pá¯éæã¤, eé.eé.dgï.£àuàgà",unknown
"1£éã páæ¸ï, 1 jazà 5£éã ªéäê£ï ¥ázàgáaiàä£à¥àågà",unknown
¥ságàäpàå£àuàgà,unknown
"gªàiágï ¥ságàäpàå£àuàgà, j¸ï.ja.j¸ï. ¸àæì¯ï 1£éã páæ¸ï",unknown
"5, 6 ªàävàäû 7£éã páæ¸ï, ªéäpáì ªàäfãzï gà¸éû, ¥ázàgáaiàä£à¥àågà",unknown
8£éã páæ¸ï ¥ázàgáaiàä£à¥àågà,unknown
"ºéæ¸àºà½î ªàäärågà¸éû, 2jazà 7£éã páæ¸ï, 13£éã j páæ¸ï ¤azà 13£éã j¥sï páæ¸ï ¥ázàgáaiàä£à¥àågà",unknown
7£éã ªàäärågà¸éû 16£éã páæ¸ï ¥ázàgáaiàä£à¥àågà,unknown
"14£éã, 15£éã, 16£éã páæ¸ï, ¥ázàgáaiàä£à¥àågà",unknown
"8£éã, 9£éã ªàävàäû 10£éã páæ¸ï ¥ázàgáaiàä£à¥àågà",unknown
"9£éã, ªàävàäû 10£éã páæ¸ï pé¼à¨sáuà  ¥ázàgáaiàä£à¥àågà",unknown
9£éã páæ¸ï ¥ázàgáaiàä£à¥àågà,unknown
"10£éã páæ¸ï, ªàä¹ã¢ »a¨sáuà ¥ázàgáaiàä£à¥àågà",unknown
"11£éã páæ¸ï, 11£éã j páæ¸ï, pá½páa¨sà zéãªà¸áü£à gà¸éû, ¥ázàgáaiàä£à¥àågà",unknown
«oà®£àuàgà 1£éã páæ¸ï¤azà 13£éã páæ¸ï ªàgéué,unknown
ªàiágàäw zéãªà¸áü£àzà »a¨áuà¢azà ¥áaqàägàauà zéãªà¸áü£àzà ªàgéué,unknown
deáózï £àuàgà 8£éã páæ¸ï,unknown
"«oà®£àuàgà ªé¸ïö 1£éã páæ¸ï¤azà 12£éã páæ¸ï ªàgéué, gàäzàæ¥àà uáqàð£ï 1£éã páæ¸ï ¤azà 9£éã páæ¸ï ªàgéué,",unknown
pà¸àæûj ¨á £àuàgà 4£éã ªéäê£ï¤azà 11£éã ªéäê£ïªàgéué.,unknown
pà¸àæûj ¨á £àuàgà 1£éã ªéäê£ï¤azà 3£éã ªéäê£ï ªàgéué ºáuàæ pà¸àæûj ¨á £àuàgà §aqé ¸àèa ªàävàäû ªéäê¸àægàä gà¸éûué ºéæa¢péæargàäªà ¸àü¼à.,unknown
£àaeáa§ cuàæºágà 1£éã ªéäê£ï 2£éã ªéäê£ï£à 1£éã páæ¸ï¤azà 12£éã páæ¸ïªàgéué.,unknown
deáózï £àuàgà 7£éã páæ¸ï ªéänö®ä gà¸éû.,unknown
dzà±àð£àuàgà ªàävàäû ¸àävàûªàäävàû® ¥àæzéã±àuà¼àä,unknown
gáªàäzàazàæ cuàæºágà ªàävàäû ¸àävàûªàäävàû® ¥àæzéã±àuà¼àä,unknown
«daiàä£àuàgà §qáªàué ªàävàäû ¸àävàûªàäävàû® ¥àæzéã±àuà¼àä,unknown
deáózï £àuàgà 1£éã páæ¸ï ¤azà 7£éã páæ¸ï ªàgéué,unknown
ªéæzà°aiàiágï páa¥ëaqï,unknown
pàtâaiàägà pá¯éæã¤ c£àavà gáªàäaiàäå páa¥ëaqï,unknown
£à¼àazà máqã¸ï cpàì - ¥àpàì ¸àü¼àuà¼àä ªéäê¸àægàä gà¸éûué ºéæa¢péæaqàavé.,unknown
ªá°äãq £àuàgà 1£éã ªéäê£ï 1£éã páæ¸ï ¤azà 11£éã páæ¸ï ªàgéué,unknown
"2£éã ªéäê£ï 1£éã páæ¸ï¤azà 11£éã páæ¸ï ªàgéué, ªá°äãq £àuàgà §aqé ¸àèa.",unknown
"gáwàªéãazàæ pá¯éæã¤ zéãªà£áxàzágï ©ã¢. pàèµàú¥àà ¯éãomï, zá¸à¥àà uáqàð£ï ªéapàlgáªàä£àuàgà záªàägád ¥éãmé 1£éãªéäê£ï 1£éã páæ¸ï",unknown
"5£éã ªéäê£ï 9£éã páæ¸ï ªàgéué ºáuàæ n¥àäà£àuàgà ¥àæzéã±ï, d£àazà¥àägà ªàiápéðmï gà¸éû, ¹¹ð gà¸éûaiàä ¸àävàû® ¥àæzéã±à, c¥ààgáªï gà¸éûaiàä ¸àävàû.",unknown
apàìtú uáqàð£ï,unknown
záªàägád¥éãmé ¥éæ¸ïö  d¦üã¸ï ¸àävàû® ¥àæzéã±à,unknown
j£ï.n ¥éãméaiàä j¯áè páæ¸ïuà¼àä pà¯á¹¥á¼àåzà j¯áè ¸àävàû® páæ¸ïuà¼àä,unknown
d£àazà¥àägà ªàävàäû ¸àävàû® páæ¸ïuà¼àä,unknown
"ca¨éãqàìgï ¥àæwªéäaiàä ¸àävàû, ªàiá¸éæì ¯éê£ï.",unknown
"¨á§¯éê£ï ªéäê¸àægàä gà¸éû,",unknown
c¥áàd¥àà cuàæºágà ¹vá¥àw cuàæºágà,unknown
"«är¯ï ¸àæì¯ï gà¸éû, gáªàälaiàäauágï gà¸éû",unknown
"j¸ï.¦ gà¸éû,  j£ï.ºézï.j¸ï. gà¸éû,  ªàiápéðãmï",unknown
"gà¸éû, ¸àdó£àgáªï gà¸éû, eéê£ï pá¯éãeï gà¸éû, «.«.¥àågàªàiï ªàävàäû ¸àävàûªàäävàû® ¥àæzéã±àuà¼àä.",unknown
"apàìªàiáªà½î, ¸àä²ã®gà¸éû, ªàävàäû ¸àävàûªàäävàû® ¥àæzéã±àuà¼àä.",unknown
¥áªàðw¥àågà ªàävàäû ¸àävàûªàäävàû® ¥àæzéã±àuà¼àä.,unknown
"pàäa¨ágàuàäar, ªéæãw£àuàgà",unknown
"§a§æ§eágï, pà¯á¹¥á¼àå,pà¯á¹¥á¼àå ºéæ¸à §qáªàué",unknown
"d£àð°¸ïö pá¯éæã¤, ja.n.©. gà¸éû ªàävàäû ¸àävàûªàäävàû® ¥àæzéã±àuà¼àä.",unknown
"ja.n.©. gà¸éû, ªàävàäû ¸àävàûªàäävàû® ¥àæzéã±àuà¼àä.",unknown
§qsáªàäsá£ï ¸àävàûªàäävàû® ¥àæzéã±àuà¼àä.,unknown
"¸àäzsáªàä£àuàgà, dtâú¥àägà, ¹zàýaiàäå gà¸éû, gáªàä¸áé«ä §qáªàué, qsà§¯ï gà¸éû ªàävàäû ¸àävàûªàäävàû® ¥àæzéã±àuà¼àä.",unknown
"«£éæã¨sà£àuàg, eé.¹.gà¸éû, ¹aªéämï ºàmïì pá¯éæã¤, ¹azsàäpá¯éæã¤, ªáåaiàiáªàä ±á¯á, ¥sàgï ªàpïìð pá¯éæã¤, uàägà¥àà uáqïð ªàävàäû ¸àävàûªàäävàû® ¥àæzéã±àuà¼àä.",unknown
"¯á¯ï¨sáuï 1£éã páæ¸ï ¤azà 8£éã páæ¸ï gàà¸éû, ºéæã¸àägàä gà¸éû ªàävàäû ¸àävàûªàäävàû® ¥àæzéã±àuà¼àä",unknown
zéæqàøªàiáªà½î páæ¸ï ªàävàäû ªàäärå gà¸éûuà¼àä,unknown
"¨sàªá¤£àuàgà,dgï.pé ªàäoà ªàävàäû ¸àävàûªàäävàû® ¥àæzéã±àuà¼àä.",unknown
apàìtú uáqàð£ï ¸àèa 4 cauàä® ªá¯ï,unknown
"±àapàgà¥àägàa (1,2,3,4&5 £éã páæ¸ï)",unknown
"£àad¥àà ¨áèpï (1,2,3 ªàävàäû 4£éã páæ¸ï)",unknown
zàváûvéûçãaiàä jpïìmé£àì£ï,unknown
pé.f £àuàgà ªéäê£ïgéæãqï,unknown
uëj±àapàgà zéãªà¸áü£à,unknown
uëj±àapàgà zéãªà¸áü£à ªéäã®uàqé géæãqï,unknown
ªàiágàªàää zéãªà¸áü£à,unknown
ºéæauéªàägà géæãqï dgï.pé ªàäoà,unknown
dgï.pé ªàäoà 2£éã ªéäê£ï,unknown
géê£ï¨éæã d¦üã¸ïgéæãqï,unknown
pé.f £àuàgà ¥éæ°ã¸ï ¸éöãµà£ï géæãqï,unknown
¸à£áå¹pàäamé ¸àèa (quarters),unknown
zéæã©ü wámï (quarters),unknown
pá¤ðpïgéæãqï,unknown
gàauágáªï gà¸éû,unknown
j¸ï.j¯ï.« pà£ïìgàªé¤ì,unknown
l.¹.l.¹.l  ¨áåapï gà¸éû,unknown
d±àæªàä ¸àpàð¯ï gà¸éû,unknown
pé.f £àuàgà 4£éã páæ¸ï,unknown
ªéæãgï »azàuàqé gà¸éû pé.f £àuàgà ªàävàäû £áuàgád ¯éãomï,unknown
±áaw¸áuàgà ºéæãmé¯ï gà¸éû ªàävàäû ªàäºàavá ¯éãomï,unknown
"¸à«äã¥àägà 1,2.3 ªàävàäû 4£éã páæ¸ï",unknown
¸à«äã¥àägà ªéäê£ïgéæãqï,unknown
"dgï.pé ªàäoà 1,2.3 ªàävàäû 4£éã páæ¸ï",unknown
erè ºéæãmé¯ï ºàwûgà,unknown
arch ªàiágàªàää zéãªà¸áü£à ¸àèa,unknown
§ä¯ïméa¥à¯ï géæãqï zéæqàø uàuéã±à zéãªà¸áü£à 27 cauàä®,unknown
"¨sàªá¤ £àuàgà 1,2,3",unknown
®qëöäã¥àägà 9 ªàävàäû 10,unknown
¨sàªá¤£àuàgà 5£éã páæ¸ï,unknown
¨sàªá¤£àuàgà 6£éã páæ¸ï,unknown
bàvàæa¨áèpï,unknown
dgï.pé ªàäoà ªéäã®äuàqé d±àæªàä ¸àpàð¯ï páa¥ëaqï 4 cauàä®,unknown
§ä¯ïméa¥à¯ï géæãqï,unknown
ªátâ«¯á¸ï géæãqï,unknown
¨sàªá¤£àuàgà ¸àèa,unknown
gzàaiàä¨sá£àä pà¯ápéëãvàæ,unknown
¸éêpà¯ï±á¥ï ºàwûgà,unknown
d¦üã¸ï ºàwûgà,unknown
§ä¯ïméa¥à¯ï géæãqï zéæqàø uàt¥àw zéãªà¸áü£à,unknown
"bsk 5th block, bhuwaneshwari nagar,",muneshwaranagar
"anjaneya nagar, ittamadu, balaji nagar, manjunatha nagar,",unknown
"kamakya badavane,",kamakshipalya
srinivas nagar - 1st to 14 th main,shivanagar
"gururaja layout, iti layout, manjunatha slum,",unknown
"vivekananda nagar, sidda reddy slum,    vinayaka nagar",unknown
"cauvery nagar, kvic layout, yellamma temple road, thibba devi tent house road,",unknown
"khatriguppa main road, diwakar medicals",maruthi mandira ward
"bsk iii stage 6th block, khatriguppa village, 4th block, 3rd block, new kempe gowda layout, poorna prajna layout, byrappa garden, siddi inayaka layout",unknown
sbm colony,btm layout
"chennammanakre layout, iti layout ridge poriton, east of khatriguppa, 2nd block bsk ii stage, 1st block, girinagar iv phase vhbcs layout,",unknown
"veerabhadra nagar, veeranna gudda, avalahalli bda layout, chamundi nagar, chamundi slum under sw3 sub division",unknown
"jayanagar 8th bock, 7th block, 6th block, yediyur village, yediyue ak colony,",unknown
"banashankari ii stage, ct bed, balaji choultry, hari kalyana mantapa back side, papaiah garden, lakshmanappa garden, college teachers layout",unknown
"kims college, sangeetha mobiles, dhobi ghat, manjunatha swamy temple area",gali anjaneya swamy temple ward
monotype industrial estate,peenya industrial area
"karisandra, kr road 27th cross to 14th cross",unknown
"yarab nagar, nehru slum, bhawani nagar, teachers colony, tamil beedhi, reshma gully, chappadi kallu road, khadirenehalli park",unknown
30th cross to 34th cross banashankari ii stage,banashankari temple ward
"ncert, eshwari school, dwaraka nagar, janashakti nagar, gurudatta layout",unknown
hosakerehalli village,hosakerehalli
mookambika nagar,shakambarinagar
timma raya gowda layout,kumaraswamy layout
"dattatreya nagar, manjunatha nagar",dattathreya temple
d'souza nagar and kere khodi,sudamnagar
"nagasandra circle area, sakammagarden area, n r colony, and surrounding areas",unknown
"shop street and cross roads, nr colony 5 th main, 6 th main and cross roads, javaraiah garden",unknown
"nr colony, 2 nd ,3rd cross, 4th cross, 5th cross and surruounding areas",unknown
"nr colony, 6th ,7th cross, 8th cross, 9th cross and 10 th cross and surruounding areas",unknown
"tr nangar 3 rd block, 2 nd main tr nagar keb qtrs surrounding area.",unknown
"tata silk farm 1 st cross, 2 nd cross, 4 th main, 1 st main, 2 nd main, 3 rd main  4th main, 5 th main, 6 th main,",unknown
"shastri ngar 7 th cross, 8 th cross, 9 th cross, 10 th cross, 11 th cross, 13 th cross, 14 th cross, 1 st main, 2 nd main, 3 rs main,",unknown
"shastri ngar 4 th main, 5 th main, 6 th main, 7 th main, 8 th main and surrounding areas",unknown
"ct bed, 1 st , 2nd, 3 rd , 4 th crosses,",unknown
"tr nagar 10 th, 11th and 12 th crosses.",unknown
grape garden 1st to 7 th cross,unknown
"chengaih layout area, byrappa block, 2 nd, 3rd and 4 th mains and surrounding areas",unknown
"saibaba temple surrounding area, nagasandra main road and cross roads and surrounding areas",unknown
"ramakrishna block 1st, 2nd main, vivekananda road",radhakrishna temple ward
"balaji road, manjunatha road, sri rama road, srinivasa road, nethaji road and surrounding areas",unknown
"ovh road, reservoir road, rathna villas road, netkallappa circle area and thyagaraj nagar major area.",unknown
"eat street, sannidi road, dvg road, puttanna road, wat street",unknown
"dewan madhavarao road, ovh road, reservoir road, rathnavillas road, model house street.",unknown
"gandhi bazaar, dvg road, part of hb samaja road, govindappa road, surveyor street, basavanagudi and surrounding areas",unknown
"kr road, kanakapura road mnk road, part of hb samaja road,",unknown
"govindappa road, surveyor street, rv road, srirama mandira road, basavanagudi and surrounding areas",unknown
"md block area, kazi road, mazid road,sri ramanadira road, rv road, near south end circle area  and surrounding areas",unknown
"ranoji rao road, umar sharieef road church street, armugam circle area and surrounding areas",unknown
lal bagh west gate and vanivillas road and surroundin areas,unknown
"ashrama circle area, wat street, eat street, nat street, and bull temple roads",unknown
"police station road, mallikarjuna temple road, tagore circle areas",radhakrishna temple ward
"post office area, north sqare road, krishna road, vv road and surrounding areas",unknown
"sunkenahalli -raghavendra matta road,mount joy road, kabeer matta road gandada gudi road & masthi venkatesh iyangar road",unknown
"gangamma gudi temple road, ssvm school back side & in frent of bbmp office, tyagarajanagara up to 5th cross (corporator sathy house surrounding)",unknown
"vishwabharathi nursing home & kumaraswamy temple surrounding, bwssb quarters road mount joy road, bms college compound road & back side to canara bank - 50feet road",unknown
"2nd, 3rd, 4th,5th, 6th,7th, 8th, 9th,10th main roads - 1st  cross, 1st a cross, 2nd cross, 3rd cross, 4th cross, 50feet road, g k store back side, kumaraswamy school back side, ganesh bhavan bus stop surroundings.                                                                    ashok nagara ridge point - 1st,2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th,11th, 12th, 13th cross roads, ashok nagara police station road - shankarnag circle",unknown
"maruthi circle surroundings, veena sheshanna road, keb office road & surroundings",unknown
"1st, 2nd, 3rd, 4th,5th, 6th,7th, 8th, 9th main roads srinagara bsk 1st stage-50  feet road  right side, pes college back side",unknown
"near kohinoor feeld, neveditha school, 1st cross road, masthivenkatesh iyangar road",unknown
"basappa park surroundings, 3rd main, harihara gudda park, de. javaregowda road,9th, 10th, 11th, 12th main roads near ramanjaneya road, ramamandira road, chandrashekar azaad road,",unknown
"beside ramanjaneya  road -  8th, 9th, 10th, 11th main roads, near yoganjaneya temple.",unknown
"lakshmipura main road -1st,2nd, 3rd, 4th, 5th, 6th,7th cross, near gavigangadhara temple road,",unknown
"lakshmipura 7th, 6th, 8th cross road",mahalakshmipuram
akkamahadevi road & yoganjaneya temple  road,gali anjaneya swamy temple ward
"lakshmipura quarters, 3rd, 4th, 5th cross roads, near quarters,",unknown
a k colony,cottonpet
"ramanjaneya road, hanumanthanagaar",hanumanthanagar
"maradi subbayya choultry backside, ramanjaneya road",unknown
