area_detail,ward_name
"vinayak nagar , priyadarshini l/o",jayanagar east
"manjunath l/o, thippaih l/o ,",unknown
"rr temple road,",radhakrishna temple ward
"bhimmaih  l/o ,triveni nagar, rajiv gandhi nagar,",unknown
"friends road,lashkmi tent road netravathi l/o,",unknown
"b narayanapura ,kamadhenu l/o, ramakrishna reddy layout",unknown
"vinayak nagar , bazaar street , lakmipura badavane,",unknown
"amar jyothi school road ,krishna nagar, manjunath l/o,",unknown
"navadeep school  road , gokul l/o, masjid road",unknown
"little bloom school road, achari bande ,mecca masjid road",unknown
"geetha clinic road, , kuvempu road, j c l/o,",unknown
"gayathri l/o -1st phase , manjunath  l/o 10 to 12 crosses, sathya sai baba l/o",unknown
"gayathri l/o -2nd phase , shirdi sai l/o, crosses medahalli village ,medahalli extn, muneshwar nagar ,",unknown
"gayathri l/o -3rd phase, kanakappa l/o , vinayak nagar , new rto, bethel nagar,",unknown
"vijaya bank colony , masjid road",vidyaranyapura
rifco shantiniketn l/o,vishwanathnagenahalli
"whitecity layout, manjunatha nagara, dominic layout, ashwini layout",unknown
"ashok l/o,gayathri l/o",gayathrinagar
"gayathri l/o -1st phase , manjunath  l/o 10 to 12 crosses",unknown
"gayathri l/o -2nd phase , shirdi sai l/o, crosses prajavani l/o , rajiv gandhi nagar , anayappa l/o",unknown
"priyanka nagara, sigehalli, dodda basavanapura",a. narayanapura
"parvathi nagara, karnashree layout, kanakappa layout,",unknown
"rr temple road,  b n pura 7th main",radhakrishna temple ward
ramakrishna reddy layout,kumaraswamy layout
"bethel nagar,sathya sai baba l/o , muneshwar l/o",unknown
"b narayanapura ,kamadhenu l/o, singaiyanapalya , railway quarters ,",unknown
"vijaya bank colony , masjid road ,brindavan l/o ,chikkabasavanapura",unknown
gayathri l/o 1st phase,gayathrinagar
"geetha clinic road,j c l/o",unknown
"udayanagar, shakthinagar, pushpajaji theatre road, guruva reddy layout, a n pura village.",unknown
"dargha moulla, pai layout, a n pura. sakkamma layout, nagappa reddy layout, nsr road 1st cross, 2nd cross, iti layout, venkataswamy reddy laout, a n pura, andra colony, vsr layout, udayanagar, gangappa layout, kaveri street,",unknown
"meg layout, ramanjippa layout, gangaiah yamma street, giddamma layout, jai lakshmi layout, nagarajappa layout.",unknown
