Area Wise Water Supply timings ,,,,,
SI NO,Subdivision,service Station,Area(in Detail),Days of Supply,Timings
86,,,Village Quatress,Tue 11:00am to Tue 11:00pm,Tue 11:00am to Tue 11:00pm
87,,,"Basavanagara, Muneshwaranagara",Tue 11:00pm to Tue 5:00am,Tue 11:00pm to Tue 5:00am
88,,,Vinoba Nagra,Tue 09:00 pm to Wed 6:00am,Tue 09:00 pm to Wed 6:00am
89,,,"Ramaradevastana Rd, Vinayaka Street,",Wed 7:00Pm to Wed7:00pm,Wed 7:00Pm to Wed7:00pm
90,,,3rd Stg 2nd Main Rd (4th 5th 6th 7th Cross),Wed 12:00Pm to Wed 6:00pm,Wed 12:00Pm to Wed 6:00pm
91,,,Gas Bunk Main Rd,Wed 06:00Pm to Wed 1:00am,Wed 06:00Pm to Wed 1:00am
92,,,3rd Stg 10nd Main Rd Someshwara layout 9th 8th 1st 3rd 4th 5th  Main ,Thu 03:00am to Sat 8:00 pm,Thu 03:00am to Sat 8:00 pm
93,,,"Makk Maszid, Gas Bunk, Taha Masjid, Sophia School, Aat Dukan.",Thu 06:00pm to Fri 6:00pm,Thu 06:00pm to Fri 6:00pm
94,,,"Hidayath Nagara, Mukthinagara, Lidkar colony, Sate Lane Chuna 1, 2 & 3, Gandhinagar, Samadhana nagara, Basavanagar 1st and 4th Cross",Thu 11:00pm to Fri 11:00am,Thu 11:00pm to Fri 11:00am
95,,,"Parijatha, Janatha Video, Arogyamma layout, Mariyamma devastana",Fri 9:00 pm to Sat 3:00 am ,Fri 9:00 pm to Sat 3:00 am 
96,,,Ubeba Nagra,Sat 09:00pm to Sun 6:00am,Sat 09:00pm to Sun 6:00am
97,,,Village Quatress,Sat 11:00am to Sat 11:00pm,Sat 11:00am to Sat 11:00pm
98,,,Basavanagar,Sat 11:00pm to Sun 5:00am,Sat 11:00pm to Sun 5:00am
99,,,"Ramaradevastana Rd, Vinayaka Street,",Sun 7:00am to Sun 7:00pm,Sun 7:00am to Sun 7:00pm
100,,,"Arogyamma Lauout, Tempo Stand Layout",Sun 6:00pm to Mon 6:00am,Sun 6:00pm to Mon 6:00am
101,,,"Gandhinagara, Samadhananagara",Sun 7:00pm to Mon 7:00am,Sun 7:00pm to Mon 7:00am
102,,Fraser town S/s,"coles road crosses, coles road, B,C,D, E and F street street, sindhi colony ",Day 1,5.00 pm to 10.00pm
103,,,"Moore road, Ahmed sait road, Mosque road, MM road",,10 pm to 3.00 AM
104,,,"Mosque road crosses, Robert son road.",,3.00 AM to 9 Am
105,,,"stephens road, haines road, netaji road, spencer road, promenade road, kemp road and surrounding areas",,9.00 am to 5.00 pm
106,,,"Williams town 11,10 ,9 and 8th cross",Day 2,5.00 pm to 11.00pm
107,,,Williams town 1st to 7 crosses ,,11 pm to 6.00 AM
108,,,Bedarahally A B C and D crosses,,6.00 AM to 1.00 pm Am
109,,,"Benson town, Bore bank road Miller road and surrounding areas",,1.00 pm to 5.00 pm
110,,Machalibetta S/s,"5th, 6th, 7th, 7th A, 16th B cross,Visveshwaraiah road, Ragavappa road, Mudappa road, Kemapanna raod, Venkataramanappa road, Kullappa road, Mariyamma temple Street , Subaraju road, SarSwathama road",Tue ,0:00am to 6:00am
111,,,Mudamma Garden 2nd and 3rd Cross (KHB Qtrs),,6:00am to 12:00pm
